Gender,BMI_Range,Percentage
Male,Less than 18.5,1.0
Female,Less than 18.5,2.3
Male,18.5 to less than 20.5,3.2
Female,18.5 to less than 20.5,6.6
Male,20.5 to less than 22.5,6.8
Female,20.5 to less than 22.5,11.2
Male,22.5 to less than 24.5,12.4
Female,22.5 to less than 24.5,15.1
Male,24.5 to less than 26.5,16.7
Female,24.5 to less than 26.5,13.7
Male,26.5 to less than 28.5,17.3
Female,26.5 to less than 28.5,11.9
Male,28.5 to less than 30.5,12.1
Female,28.5 to less than 30.5,10.6
Male,30.5 to less than 32.5,10.5
Female,30.5 to less than 32.5,8.2
Male,32.5 to less than 34.5,6.8
Female,32.5 to less than 34.5,5.5
Male,34.5 to less than 36.5,4.5
Female,34.5 to less than 36.5,4.4
Male,36.5 to less than 38.5,3.0
Female,36.5 to less than 38.5,2.9
Male,38.5 to less than 40.5,2.4
Female,38.5 to less than 40.5,2.6
Male,40.5 to less than 42.5,1.6
Female,40.5 to less than 42.5,1.6
Male,42.5 to less than 44.5,0.9
Female,42.5 to less than 44.5,1.2
Male,44.5 to less than 46.5,0.4
Female,44.5 to less than 46.5,1.0
Male,46.5 or more,0.6
Female,46.5 or more,1.1
