PHN_CODE,PHN_NAME,Percent
PHN101,Central and Eastern Sydney,42.4
PHN102,Northern Sydney,47.7
PHN103,Western Sydney,62.5
PHN104,Nepean Blue Mountains,68.8
PHN105,South Western Sydney,57.9
PHN106,South Eastern NSW,63.4
PHN107,Western NSW,59.9
PHN108,Hunter New England and Central Coast,61.7
PHN109,North Coast,58.4
PHN201,North Western Melbourne,54.6
PHN202,Eastern Melbourne,51.9
PHN203,South Eastern Melbourne,54.0
PHN205,Murray,54.3
PHN206,Western Victoria,63.4
PHN301,Brisbane North,50.4
PHN302,Brisbane South,62.2
PHN303,Gold Coast,54.6
PHN304,Darling Downs and West Moreton,71.7
PHN306,"Central Queensland, Wide Bay and Sunshine Coast",63.4
PHN307,Northern Queensland,59.8
PHN401,Adelaide,54.5
PHN402,Country SA,69.0
PHN501,Perth North,52.6
PHN502,Perth South,52.5
PHN503,Country WA,57.4
PHN601,Tasmania,58.5
PHN701,Northern Territory,53.8
PHN801,Australian Capital Territory,49.7
